epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,569.412,0.50652,0.35837,0.29993,0.84678,0.96847,0.7656,0.84307,0.86692,0.68332,0.7656,0.84307,0.85684,0.82557,0.88303,0.6136,0.09301,0.92681,1.32457,0.000174758,0.000174758,0.000174758
50,580.477,0.49969,0.33346,0.30401,0.8402,0.98139,0.77871,0.83073,0.83688,0.66289,0.77871,0.83073,0.82359,0.76954,0.80484,0.61447,0.07994,0.93717,1.26141,0.000171462,0.000171462,0.000171462
51,593.045,0.51281,0.32154,0.30809,0.84307,0.98884,0.81173,0.74059,0.83187,0.66076,0.8076,0.73647,0.79465,0.77152,0.8096,0.81114,0.0835,1.04146,1.26974,0.000168165,0.000168165,0.000168165
52,603.705,0.48301,0.33359,0.30872,0.81596,0.95964,0.80089,0.76297,0.85828,0.67161,0.80089,0.76297,0.83955,0.7731,0.86788,0.86922,0.09437,1.12023,1.31253,0.000164868,0.000164868,0.000164868
53,614.806,0.49422,0.29514,0.28034,0.82502,0.97245,0.7761,0.80789,0.8933,0.70889,0.7761,0.80789,0.88903,0.83038,0.78018,0.64311,0.07302,0.93514,1.26466,0.000161572,0.000161572,0.000161572
54,627.066,0.48686,0.3026,0.29732,0.80007,0.9636,0.75454,0.82211,0.892,0.67523,0.74794,0.81551,0.87608,0.83409,0.90624,0.63201,0.08761,0.8929,1.34411,0.000158275,0.000158275,0.000158275
55,638.264,0.47707,0.30244,0.28887,0.79222,0.96161,0.66743,0.8428,0.89093,0.69534,0.75823,0.76619,0.86135,0.82407,0.86066,0.78483,0.08449,0.98237,1.35089,0.000154978,0.000154978,0.000154978
56,649.356,0.45323,0.31773,0.29656,0.7482,0.95515,0.79505,0.81584,0.93282,0.73823,0.79505,0.81584,0.92758,0.86615,0.78808,0.62109,0.0836,0.83202,1.26466,0.000151682,0.000151682,0.000151682
57,663.147,0.4767,0.30002,0.28929,0.79375,0.96619,0.77592,0.83326,0.93727,0.74143,0.77592,0.83326,0.93068,0.86237,0.82524,0.59669,0.08013,0.79656,1.27809,0.000148385,0.000148385,0.000148385
58,674.941,0.46306,0.29395,0.28538,0.74828,0.95417,0.76927,0.87177,0.91809,0.72221,0.76927,0.87177,0.91407,0.85284,0.87594,0.62916,0.07901,0.84797,1.32195,0.000145088,0.000145088,0.000145088
59,684.53,0.45476,0.27978,0.28936,0.76772,0.95762,0.8408,0.76362,0.92193,0.72413,0.8408,0.76362,0.92041,0.8723,0.7967,0.64053,0.08321,0.83621,1.23925,0.000141791,0.000141791,0.000141791
